Easting,Northing,Weighting,Cluster_220,Cluster_480
679979.213887524,6406529.75306647,3.0,1,5
679979.213887524,6406725.90594226,16.0,3,1
679979.213887524,6407021.63189212,16.0,6,3
679985.013887523,6406286.72244122,16.0,4,2
679985.013887523,6406512.68146966,4.0,1,5
679985.013887523,6406725.90347058,16.0,5,1
679985.013887524,6407021.63281401,16.0,6,3
679990.813887524,6406286.72316525,16.0,7,2
679990.813887524,6406512.67802145,4.0,1,5
679990.813887524,6406725.9022906,16.0,5,1
679990.813887524,6407021.63199939,16.0,6,3
679996.613887524,6406286.72313059,16.0,7,2
679996.613887524,6406512.6745105,4.0,1,5
679996.613887524,6406725.90110136,16.0,5,1
679996.613887524,6407021.63200315,16.0,6,3
680002.413887524,6406286.72305176,16.0,4,2
680002.413887524,6406512.67158325,4.0,1,5
680002.413887524,6406725.90120964,16.0,5,1
680002.413887524,6407038.69764891,14.0,6,3
680008.213887524,6406286.72277489,16.0,2,0
680008.213887524,6406512.68634352,4.0,1,5
680008.213887524,6406725.90164829,16.0,3,1
680008.213887524,6407038.69826791,14.0,6,3
680014.013887524,6406286.72201858,16.0,2,0
680014.013887524,6406512.690087,4.0,1,5
680014.013887524,6406725.90255137,16.0,3,1
680014.013887524,6407038.69754498,14.0,6,3
680019.813887524,6406286.72242008,16.0,4,2
680019.813887524,6406512.6929199,4.0,1,5
680019.813887524,6406725.90222186,16.0,3,1
680019.813887524,6407038.69720222,14.0,6,3
680025.613887524,6406286.72176564,16.0,7,2
680025.613887524,6406512.69726068,4.0,1,5
680025.613887524,6406725.90261282,16.0,3,1
680025.613887524,6407021.62905187,16.0,8,4
680031.413887524,6406303.77797685,14.0,7,2
680031.413887524,6406512.69867123,4.0,1,5
680031.413887524,6406725.90112941,16.0,5,1
680031.413887524,6407021.63051305,16.0,8,4
680037.213887524,6406303.77695821,14.0,4,2
680037.213887524,6406512.70193824,4.0,1,5
680037.213887524,6406725.89929448,16.0,5,1
680037.213887524,6407021.62999014,16.0,8,4
680043.013887524,6406303.77641222,14.0,4,2
680043.013887524,6406512.70270604,4.0,1,5
680043.013887524,6406725.89886478,16.0,5,1
680043.013887524,6407021.62994639,16.0,8,4
680048.813887524,6406303.77563325,14.0,4,2
680048.813887524,6406512.70317829,4.0,1,5
680048.813887524,6406725.89812863,16.0,5,1
680048.813887524,6407021.63217043,16.0,6,3
680054.613887524,6406303.77448766,14.0,4,2
680054.613887524,6406512.70231589,4.0,9,5
680054.613887524,6406725.89723813,16.0,10,6
680054.613887524,6407021.63129714,16.0,6,3
680060.413887524,6406303.77449307,14.0,7,2
680060.413887524,6406512.70234229,4.0,9,5
680060.413887524,6406725.89721207,16.0,10,6
680060.413887524,6407021.63185753,16.0,6,3
680066.213887524,6406303.77311387,14.0,7,2
680066.213887524,6406512.70421115,4.0,1,5
680066.213887524,6406725.89676127,16.0,11,6
680066.213887524,6407021.63244783,16.0,8,4
680072.013887524,6406303.77275719,14.0,4,2
680072.013887524,6406512.70535652,4.0,1,5
680072.013887524,6406725.89683253,16.0,11,6
680072.013887524,6407021.63243407,16.0,12,4
680076.865005412,6407742.40391686,12.0,13,9
680077.813887524,6406303.77275005,14.0,4,2
680077.813887524,6406512.70485886,4.0,1,5
680077.813887524,6406725.89690488,16.0,11,6
680077.813887524,6407021.63241978,16.0,12,4
680082.665005412,6407741.4068617,12.0,13,9
680083.613887524,6406303.77199186,14.0,14,7
680083.613887524,6406512.70877909,4.0,9,5
680083.613887524,6406725.89708727,16.0,11,6
680083.613887524,6407021.63150517,16.0,8,4
680088.465005413,6407740.41258584,12.0,13,9
680088.465005413,6407898.19297884,2.0,15,8
680089.413887524,6406303.77098241,14.0,4,2
680089.413887524,6406512.71504247,4.0,9,5
680089.413887524,6406725.8965685,16.0,10,6
680089.413887524,6407021.63255927,16.0,8,4
680094.265005413,6407739.41607644,12.0,13,9
680094.265005413,6407914.24967204,3.0,15,8
680095.213887524,6406303.77125844,14.0,7,2
680095.213887524,6406512.71921809,4.0,9,5
680095.213887524,6406725.89682241,16.0,10,6
680095.213887524,6407021.63278007,16.0,8,4
680100.065005413,6407738.41882989,12.0,13,9
680100.065005413,6407913.25296127,3.0,15,8
680101.013887524,6406303.7710721,14.0,7,2
680101.013887524,6406512.72598721,4.0,9,5
680101.013887524,6406725.89613889,16.0,11,6
680101.013887524,6407021.6324334,16.0,8,4
680105.865005413,6407737.42118523,12.0,13,9
680105.865005413,6407912.25434067,3.0,15,8
680106.813887524,6406303.77065573,14.0,14,7
680106.813887524,6406512.73171094,4.0,9,5
680106.813887524,6406725.89572037,16.0,11,6
680106.813887525,6407021.63062933,16.0,12,4
680111.665005413,6407736.42339773,12.0,16,9
680111.665005413,6407911.25724319,3.0,15,8
680112.613887524,6406303.7715103,14.0,14,7
680112.613887524,6406512.73928536,4.0,9,5
680112.613887524,6406725.89524986,16.0,11,6
680112.613887524,6407021.63082311,16.0,12,4
680117.465005413,6407735.42616547,12.0,16,9
680117.465005413,6407927.27218494,4.0,15,8
680118.413887525,6406303.77214095,14.0,14,7
680118.413887525,6406512.74453955,4.0,9,5
680118.413887525,6406725.89544996,16.0,11,6
680118.413887525,6407021.63099272,16.0,8,4
680123.265005413,6407734.42948709,12.0,16,9
680123.265005413,6407926.27512613,4.0,15,8
680124.213887525,6406303.77295945,14.0,14,7
680124.213887525,6406512.74894037,4.0,9,5
680124.213887525,6406725.89531997,16.0,10,6
680124.213887525,6407021.6310903,16.0,8,4
680129.065005413,6407733.43325537,12.0,16,9
680129.065005413,6407925.27795418,4.0,15,8
680130.013887525,6406303.77341015,14.0,7,2
680130.013887525,6406512.7525231,4.0,9,5
680130.013887525,6406725.89495075,16.0,10,6
680130.013887525,6407021.63054707,16.0,8,4
680134.865005413,6407732.43678689,12.0,16,9
680134.865005413,6407924.28090784,4.0,15,8
680135.813887525,6406303.77507018,14.0,7,2
680135.813887525,6406512.75330435,4.0,9,5
680135.813887525,6406725.89467359,16.0,11,6
680135.813887525,6407021.63142091,16.0,8,4
680140.665005413,6407731.43908451,12.0,13,9
680140.665005413,6407923.28363015,4.0,15,8
680141.613887525,6406303.77589036,14.0,7,2
680141.613887525,6406512.75293921,4.0,9,5
680141.613887525,6406725.89430902,16.0,11,6
680141.613887525,6407021.62980752,16.0,12,4
680146.465005413,6407765.87817554,4.0,16,9
680146.465005413,6407922.28666051,4.0,15,8
680147.413887525,6406303.77854106,14.0,7,2
680147.413887525,6406512.75421246,4.0,9,5
680147.413887525,6406725.89375958,16.0,11,6
680147.413887525,6407021.62983431,16.0,12,4
680150.212965015,6408178.03443089,4.0,17,10
680152.265005413,6407764.88104716,4.0,16,9
680152.265005413,6407921.28957642,4.0,15,8
680153.213887525,6406303.78045584,14.0,7,2
680153.213887525,6406512.75452768,4.0,9,5
680153.213887525,6406725.89314471,16.0,11,6
680153.213887525,6407021.62987567,16.0,12,4
680156.012965015,6408178.03407356,4.0,17,10
680158.065005413,6407763.88358951,4.0,16,9
680158.065005413,6407920.29247551,4.0,15,8
680159.013887525,6406303.78320756,14.0,18,7
680159.013887525,6406512.74577983,4.0,9,5
680159.013887525,6406725.8926901,16.0,10,6
680159.013887525,6407021.62996878,16.0,12,4
680161.812965015,6408193.69121435,14.0,17,10
680163.865005413,6407762.88406758,4.0,16,9
680163.865005413,6407919.29531707,4.0,15,8
680164.813887525,6406303.78543739,14.0,19,11
680164.813887525,6406512.74582357,4.0,9,5
680164.813887525,6406725.89256521,16.0,10,6
680164.813887525,6407037.44646536,14.0,12,4
680167.612965015,6408193.69170893,14.0,17,10
680169.665005413,6407761.88695003,4.0,16,9
680169.665005413,6407918.29805076,4.0,15,8
680170.613887525,6406303.78865682,14.0,19,11
680170.613887525,6406512.74581181,4.0,9,5
680170.613887525,6406725.89221938,16.0,10,6
680170.613887525,6407021.72776762,12.0,12,4
680173.412965015,6408193.69232617,14.0,17,10
680175.465005413,6407760.89224142,4.0,16,9
680175.465005413,6407917.30095869,4.0,15,8
680176.413887525,6406303.79133852,14.0,7,2
680176.413887525,6406512.74574103,4.0,9,5
680176.413887525,6406725.89279836,16.0,10,6
680176.413887525,6407021.72731788,12.0,12,4
680179.212965015,6408193.69296643,14.0,20,12
680181.265005413,6407759.89514249,4.0,16,9
680181.265005413,6407916.3057409,4.0,15,8
680182.213887525,6406303.79298853,14.0,7,2
680182.213887525,6406529.79550369,3.0,9,5
680182.213887525,6406725.89286526,16.0,10,6
680182.213887525,6407021.72639349,12.0,8,4
680185.012965015,6408193.6929922,14.0,20,12
680185.012965015,6408402.67919537,4.0,22,13
680187.065005413,6407758.8979228,4.0,16,9
680187.065005413,6407915.30826288,4.0,15,8
680188.013887525,6406286.74336855,16.0,18,7
680188.013887525,6406529.78880305,3.0,9,5
680188.013887525,6406725.8924269,16.0,10,6
680188.013887525,6406987.41223496,12.0,12,4
680190.812965015,6408193.69356898,14.0,17,10
680190.812965015,6408402.67925991,4.0,22,13
680192.865005413,6407757.89879863,4.0,16,9
