Easting,Northing,Weighting,Cluster_240,Cluster_480,Cluster_Parent,Cluster_Sub
680226.413887525,6406725.89279836,16.0,25,14,14,449
680226.413887525,6407021.72731788,12.0,94,14,14,434
680229.212965015,6408193.69296643,14.0,86,50,50,1467
680231.265005413,6407759.89514249,4.0,87,50,50,1460
680231.265005413,6407916.3057409,4.0,88,51,51,1477
680232.213887525,6406303.79298853,14.0,3,1,1,50
680232.213887525,6406529.79550369,3.0,21,11,11,326
680232.213887525,6406725.89286526,16.0,25,14,14,447
680232.213887525,6407021.72639349,12.0,94,14,14,433
680235.012965015,6408193.6929922,14.0,86,50,50,1466
680235.012965015,6408402.67919537,4.0,72,41,41,1222
680237.065005413,6407758.8979228,4.0,87,50,50,1460
680237.065005413,6407915.30826288,4.0,88,51,51,1477
680238.013887525,6406286.74336855,16.0,3,1,1,52
680238.013887525,6406529.78880305,3.0,21,11,11,327
680238.013887525,6406725.8924269,16.0,25,14,14,446
680238.013887525,6406987.41223496,12.0,94,14,14,429
680240.812965015,6408193.69356898,14.0,85,49,49,1438
680240.812965015,6408402.67925991,4.0,72,41,41,1222
680242.865005413,6407757.89879863,4.0,87,50,50,1460
680242.865005413,6407914.31183724,4.0,88,51,51,1478
680243.813887525,6406286.74605568,16.0,3,1,1,54
680243.813887525,6406529.79174787,3.0,21,11,11,328
680243.813887525,6406725.89272293,16.0,25,14,14,444
680243.813887525,6406987.41193602,12.0,94,14,14,427
680246.612965015,6408193.69332428,14.0,85,49,49,1436
680246.612965015,6408402.67918318,4.0,72,41,41,1222
680248.665005413,6407756.90181121,4.0,87,50,50,1460
680248.665005413,6407913.31288511,4.0,88,51,51,1478
680249.613887525,6406286.74858295,16.0,3,1,1,56
680249.613887525,6406529.7931705,3.0,21,11,11,329
680249.613887525,6406725.89294406,16.0,25,14,14,442
680249.613887525,6406987.4112427,12.0,94,14,14,426
680252.412965015,6408193.69303459,14.0,85,49,49,1434
680252.412965015,6408402.67915489,4.0,72,41,41,1222
680254.465005413,6407755.90723166,4.0,87,50,50,1459
680254.465005413,6407912.31563822,4.0,88,51,51,1479
680255.413887525,6406286.7508007,16.0,3,1,1,58
680255.413887525,6406582.40394961,16.0,21,11,11,331
680255.413887525,6406795.5581733,4.0,25,14,14,432
680255.413887525,6406987.41128104,12.0,94,14,14,425
680258.212965015,6408193.69322166,14.0,85,49,49,1432
680258.212965015,6408472.36197966,16.0,72,41,41,1221
680260.265005414,6407754.91372375,4.0,87,50,50,1458
680260.265005414,6407911.31888342,4.0,88,51,51,1479
680261.213887525,6406286.75324281,16.0,3,1,1,60
680261.213887525,6406582.40382178,16.0,21,11,11,333
680261.213887525,6406795.55845393,4.0,25,14,14,432
680261.213887525,6406951.97864052,4.0,94,14,14,424
680264.012965015,6408193.69298073,14.0,85,49,49,1430
680264.012965015,6408472.36385387,16.0,72,41,41,1220
680266.065005413,6407753.92041152,4.0,87,50,50,1457
680266.065005413,6407910.32199653,4.0,88,51,51,1480
680266.762119935,6407287.23031506,3.0,91,16,16,524
680267.013887525,6406286.75558784,16.0,3,1,1,62
680267.013887525,6406582.4040919,16.0,21,11,11,335
680267.013887525,6406795.5582936,4.0,25,14,14,431
680267.013887525,6406951.97552375,4.0,94,14,14,424
680269.812965016,6408193.69291282,14.0,85,49,49,1428
680269.812965016,6408472.36161078,16.0,72,41,41,1219
680271.865005414,6407717.47720893,12.0,87,50,50,1458
680271.865005414,6407926.10950555,3.0,88,51,51,1481
680272.562119935,6407287.22943297,3.0,91,16,16,524
680272.813887525,6406286.75790918,16.0,4,2,2,77
680272.813887525,6406795.55784201,4.0,25,14,14,431
680272.813887525,6406951.97551806,4.0,94,14,14,424
680272.813887526,6406582.40492476,16.0,21,11,11,337
680275.612965015,6408193.69318104,14.0,85,49,49,1426
680275.612965015,6408472.36356726,16.0,71,42,42,1251
680277.665005414,6407716.47831439,12.0,87,50,50,1457
680277.665005414,6407925.11431519,3.0,88,51,51,1481
680278.362119935,6407287.22938313,3.0,91,16,16,524
680278.613887526,6406286.76067871,16.0,4,2,2,75
680278.613887526,6406582.40974529,16.0,21,11,11,339
680278.613887526,6406795.55750742,4.0,25,14,14,431
680278.613887526,6406951.97556967,4.0,94,14,14,423
680281.412965016,6408193.69320002,14.0,85,49,49,1424
680281.412965016,6408472.36115583,16.0,71,42,42,1249
680283.465005414,6407715.48099682,12.0,87,50,50,1456
680283.465005414,6407924.11788125,3.0,88,51,51,1482
680284.162119935,6407287.2290025,3.0,91,16,16,523
680284.413887525,6406286.76220389,16.0,4,2,2,73
680284.413887525,6406582.41125393,16.0,21,11,11,341
680284.413887525,6406795.55752564,4.0,25,14,14,431
680284.413887525,6406951.9756698,4.0,94,14,14,423
680287.212965016,6408193.69407814,14.0,85,49,49,1422
680287.212965016,6408472.36265342,16.0,71,42,42,1247
680287.212965016,6408684.47063603,4.0,81,34,34,1035
680289.265005414,6407714.48448611,12.0,87,50,50,1455
680289.265005414,6407923.12222723,3.0,88,51,51,1482
680289.962119935,6407269.33548342,12.0,91,16,16,523
680290.213887526,6406286.76536069,16.0,4,2,2,70
680290.213887526,6406582.41210542,16.0,20,11,11,343
680290.213887526,6406795.55790251,4.0,25,14,14,430
680290.213887526,6406951.97572202,4.0,94,14,14,423
680293.012965015,6408472.36137322,16.0,71,42,42,1245
680293.012965016,6408193.69431789,14.0,85,49,49,1420
680293.012965016,6408684.46711566,4.0,81,34,34,1035
680295.065005414,6407713.48802112,12.0,87,50,50,1454
680295.065005414,6407905.33482772,4.0,88,51,51,1482
680295.762119935,6407269.33501292,12.0,91,16,16,522
680296.013887526,6406286.76707642,16.0,4,2,2,68
680296.013887526,6406582.41260691,16.0,20,11,11,345
680296.013887526,6406795.55843299,4.0,25,14,14,430
680296.013887526,6406951.97582171,4.0,94,14,14,423
680298.812965016,6408193.69484354,14.0,85,49,49,1418
680298.812965016,6408472.3606273,16.0,71,42,42,1243
680298.812965016,6408684.46646045,4.0,81,34,34,1034
680300.865005414,6407712.49108033,12.0,87,50,50,1453
680300.865005414,6407904.33745264,4.0,88,51,51,1482
680301.562119935,6407269.3338978,12.0,91,16,16,521
680301.813887526,6406286.76794155,16.0,4,2,2,66
680301.813887526,6406582.41426997,16.0,20,11,11,347
680301.813887526,6406795.55847597,4.0,25,14,14,430
680301.813887526,6406917.90198171,2.0,94,14,14,422
680304.612965016,6408193.69478249,14.0,85,49,49,1416
680304.612965016,6408489.43701942,14.0,71,42,42,1242
680304.612965016,6408684.46701241,4.0,73,43,43,1267
680304.612965016,6408840.83671458,4.0,73,43,43,1267
680306.665005414,6407711.49260633,12.0,87,50,50,1452
680306.665005414,6407903.33994796,4.0,88,51,51,1483
680307.362119935,6407269.33337424,12.0,91,16,16,520
680307.613887526,6406286.77002648,16.0,4,2,2,64
680307.613887526,6406582.41566357,16.0,20,11,11,348
680307.613887526,6406795.55836914,4.0,25,14,14,430
680307.613887526,6406917.8999969,2.0,94,14,14,422
680310.412965016,6408193.69441358,14.0,85,49,49,1414
680310.412965016,6408489.43550968,14.0,71,42,42,1240
680310.412965016,6408684.46580388,4.0,73,43,43,1267
680310.412965016,6408840.8374992,4.0,73,43,43,1267
680312.465005414,6407710.4945578,12.0,87,50,50,1451
680312.465005414,6407902.34266948,4.0,88,51,51,1483
680313.162119935,6407269.33283844,12.0,91,16,16,518
680313.413887526,6406286.77072665,16.0,4,2,2,63
680313.413887526,6406582.41787803,16.0,20,11,11,350
680313.413887526,6406795.55823478,4.0,25,14,14,429
680313.413887526,6406917.90004729,2.0,94,14,14,422
680316.212965016,6408193.69481181,14.0,85,49,49,1412
680316.212965016,6408489.43439728,14.0,71,42,42,1238
680316.212965016,6408684.46604911,4.0,73,43,43,1266
680316.212965016,6408840.83791347,4.0,74,44,44,1298
680318.265005414,6407709.49698382,12.0,87,50,50,1450
