Algorithm,Num PCUs,Mean Strings/PCU,Utilization %,Single PCUs,Dual PCUs
HDBSCAN,77,299.961038961039,62.491883116883116,19,58
Balanced_KMeans,49,471.3673469387755,98.2015306122449,0,49
Louvain,77,299.961038961039,62.491883116883116,27,50
